LAW L1,L1,LAW L2,L2,Class,
182133,1432,-458302,18,0,
182446,1435,-458407,19,0,
157740,1188,-458341,18,0,
125933,870,-458261,17,0,
121951,830,-458315,18,0,
120861,819,-458324,18,0,
118863,799,-458299,18,0,
111517,725,-458316,18,0,
113057,741,-458338,18,0,
120904,819,-458328,18,0,
123869,849,-458295,18,0,
125426,864,-458303,18,0,
119691,807,-458308,18,0,
125869,869,-458314,18,0,
133364,944,-458295,18,0,
153309,1143,-458322,18,0,
177499,1385,-458348,18,0,
184740,1458,-458323,18,0,
165114,1261,-458313,18,0,
122932,840,-458324,18,0,
122556,836,-458319,18,0,
124472,855,-458335,18,0,
125754,868,-458321,18,0,
125572,866,-458360,18,0,
125047,861,-458317,18,0,
138133,992,-458296,18,0,
158206,1192,-458315,18,0,
179036,1401,-458321,18,0,
191044,1521,-458327,18,0,
196824,1578,-458306,18,0,
183763,1448,-458322,18,0,
184111,1451,-458351,18,0,
182149,1432,-458286,18,0,
181755,1428,-458306,18,0,
174954,1360,-458350,18,0,
134706,957,-458337,18,0,
54389,154,-458356,18,0,
30093,88,-458391,19,0,
64323,253,-458344,18,0,
99621,606,-458292,18,0,
124218,852,-458240,17,0,
131051,921,-458345,18,0,
126188,872,-458357,18,0,
125523,865,-458336,18,0,
125585,866,-458325,18,0,
125555,866,-458325,18,0,
126275,873,-458286,18,0,
127729,887,-458318,18,0,
126753,878,-458317,18,0,
90888,519,-458293,18,0,
57331,183,-458335,18,0,
44453,55,-458350,18,0,
69779,308,-458284,18,0,
86356,474,-458335,18,0,
87189,482,-458371,18,0,
87275,483,-458310,18,0,
87212,482,-458313,18,0,
87130,481,-458302,18,0,
87385,484,-458321,18,0,
87278,483,-458340,18,0,
87393,484,-458305,18,0,
87428,484,-458345,18,0,
87454,485,-458313,18,0,
87328,483,-458292,18,0,
87445,485,-458337,18,0,
87653,487,-458222,17,0,
87587,486,-458269,17,0,
87758,488,-459209,27,0,
87521,485,-460339,38,0,
87682,487,-459037,25,0,
87934,490,-458331,18,0,
87684,487,-458306,18,0,
88006,490,-458331,18,0,
88051,491,-458270,17,0,
87903,489,-458334,18,0,
88088,491,-458379,19,0,
87408,484,-458343,18,0,
88005,490,-458316,18,0,
87854,489,-458339,18,0,
87745,488,-458307,18,0,
88059,491,-458354,18,0,
87675,487,-458322,18,0,
87651,487,-458362,18,0,
88134,492,-458363,18,0,
87856,489,-458323,18,0,
87645,487,-458329,18,0,
88066,491,-458339,18,0,
87808,488,-458345,18,0,
88136,492,-458312,18,0,
88010,490,-458292,18,0,
87719,487,-458315,18,0,
88036,491,-458393,19,0,
87968,490,-458321,18,0,
87701,487,-458283,18,0,
87978,490,-458348,18,0,
88011,490,-458378,19,0,
88094,491,-458315,18,0,
88046,491,-458337,18,0,
87874,489,-458296,18,0,
87974,490,-458305,18,0,
88104,491,-458260,17,0,
90619,516,-458278,18,0,
117170,782,-458351,18,0,
210068,1711,-458401,19,0,
336478,2975,-458440,19,0,
320212,2812,-458429,19,0,
323501,2845,-458481,20,1,
333116,2941,-458531,20,1,
336411,2974,-458549,20,1,
342747,3038,-458591,21,1,
354318,3153,-458692,22,1,
361963,3230,-458869,23,1,
366507,3275,-459365,28,1,
396105,3571,-460731,42,1,
427192,3882,-463973,74,1,
465557,4266,-469279,128,1,
502000,4630,-475348,188,1,
539944,5010,-480808,243,1,
578519,5395,-485832,293,1,
614133,5752,-495290,388,1,
646172,6072,-498567,420,1,
672153,6332,-501095,446,1,
708423,6694,-503592,471,1,
725533,6866,-506014,495,1,
739023,7000,-507687,512,1,
790206,7512,-508586,521,1,
888785,8498,-509543,530,1,
964191,9252,-510742,542,1,
741167,7022,-510617,541,1,
424116,3851,-504528,480,1,
289898,2509,-502305,458,1,
218484,1795,-500434,439,1,
155370,1164,-497837,413,1,
149199,1102,-494556,380,1,
145895,1069,-491362,348,1,
142114,1031,-488381,319,1,
132851,939,-484252,277,1,
123085,841,-479436,229,1,
110646,717,-475047,185,1,
98386,594,-470868,143,1,
84145,452,-462887,64,1,
57862,189,-460436,39,1,
50881,119,-459257,27,1,
47243,83,-458779,23,1,
43859,49,-458574,20,1,
34660,42,-458507,20,1,
26843,120,-458452,19,0,
22709,162,-458419,19,0,
17902,210,-458397,19,0,
13350,255,-458375,18,0,
-1217,401,-458410,19,0,
-6811,457,-458354,18,0,
-5892,448,-458326,18,0,
23439,154,-458241,17,0,
34373,45,-458282,18,0,
32321,66,-458294,18,0,
32134,67,-458333,18,0,
32284,66,-458328,18,0,
32302,66,-458290,18,0,
31934,69,-458253,17,0,
32047,68,-458280,18,0,
32221,67,-458286,18,0,
32229,67,-458308,18,0,
32280,66,-458334,18,0,
32277,66,-458362,18,0,
32242,66,-458320,18,0,
32553,63,-458299,18,0,
32839,60,-458294,18,0,
32478,64,-458289,18,0,
32333,65,-458250,17,0,
29311,96,-458270,17,0,
45320,63,-458286,18,0,
60469,215,-458390,19,0,
60469,215,-458354,18,0,
63462,245,-458291,18,0,
65955,270,-458377,18,0,
67583,286,-458393,19,0,
66351,274,-458313,18,0,
66670,277,-458316,18,0,
67765,288,-458374,18,0,
66365,274,-458342,18,0,
66165,272,-458375,18,0,
66477,275,-460270,37,1,
66126,271,-462032,55,1,
66288,273,-459877,33,1,
66373,274,-459869,33,1,
66160,272,-461361,48,1,
66191,272,-461791,53,1,
66040,271,-462538,60,1,
66370,274,-464658,81,1,
66206,272,-465713,92,1,
65878,269,-463599,71,1,
66347,274,-462885,64,1,
66673,277,-463085,66,1,
66664,277,-462563,60,1,
66472,275,-462226,57,1,
65598,266,-462100,56,1,
65757,268,-461302,48,1,
66000,270,-460461,39,1,
66211,272,-460344,38,1,
66238,273,-464804,83,1,
66439,275,-469054,125,1,
67539,286,-470356,138,1,
68669,297,-472182,157,1,
68019,290,-475879,194,1,
76787,378,-480209,237,1,
79813,408,-482481,260,1,
83200,442,-484282,278,1,
87360,484,-486788,303,1,
87360,484,-487724,312,1,
85126,461,-487154,306,1,
83635,447,-483256,267,1,
82660,437,-473608,171,1,
81811,428,-463395,69,1,
81162,422,-459782,33,1,
79534,406,-459193,27,1,
79497,405,-458900,24,1,
79178,402,-458380,19,0,
80358,414,-458023,15,0,
80365,414,-458045,15,0,
78059,391,-457222,7,0,
76868,379,-456891,4,0,
76563,376,-457348,8,0,
76634,377,-457630,11,0,
77618,386,-456490,0,0,
78568,396,-455442,10,0,
77575,386,-457757,12,0,
77142,382,-458519,20,0,
76764,378,-458210,17,0,
76507,375,-458228,17,0,
76624,376,-458278,18,0,
76622,376,-458323,18,0,
76761,378,-458340,18,0,
76761,378,-458338,18,0,
76800,378,-458349,18,0,
77074,381,-458325,18,0,
77057,381,-458332,18,0,
76257,373,-458296,18,0,
75782,368,-458297,18,0,
76856,379,-458322,18,0,
77068,381,-458347,18,0,
76131,371,-458313,18,0,
77061,381,-458353,18,0,
76471,375,-458306,18,0,
76040,371,-458310,18,0,
77033,381,-458347,18,0,
77437,385,-458324,18,0,
76215,372,-458305,18,0,
76411,374,-458311,18,0,
77131,381,-458335,18,0,
76692,377,-458313,18,0,
76465,375,-458358,18,0,
76647,377,-458385,19,0,
76742,378,-458313,18,0,
76673,377,-458333,18,0,
76647,377,-458326,18,0,
78403,394,-458304,18,0,
104395,654,-458263,17,0,
223446,1845,-458336,18,0,
316563,2776,-458495,20,1,
321881,2829,-458596,21,1,
319683,2807,-458633,21,1,
323863,2849,-458714,22,1,
327323,2883,-458971,24,1,
333338,2944,-459475,29,1,
346829,3078,-460338,38,1,
356401,3174,-461286,48,1,
364880,3259,-462380,59,1,
385571,3466,-464537,80,1,
417721,3787,-469128,126,1,
514900,4759,-482578,261,1,
565924,5269,-489663,331,1,
607913,5689,-495288,388,1,
643122,6041,-500487,440,1,
689352,6504,-507347,508,1,
737214,6982,-513658,571,1,
774617,7356,-518565,620,1,
803916,7649,-522690,662,1,
833368,7944,-526612,701,1,
869498,8305,-529909,734,1,
910796,8718,-531946,754,1,
1013136,9742,-534285,778,1,
1020356,9814,-535016,785,1,
730767,6918,-531906,754,1,
438685,3997,-527208,707,1,
286758,2478,-524298,678,1,
223540,1846,-521763,652,1,
198888,1599,-518190,617,1,
180104,1411,-513649,571,1,
179997,1410,-508871,523,1,
173801,1348,-504640,481,1,
157283,1183,-492967,364,1,
144732,1058,-486645,301,1,
133747,948,-481126,246,1,
117966,790,-475953,194,1,
99394,604,-470572,140,1,
83197,442,-465518,90,1,
53795,148,-459943,34,1,
49969,110,-459009,25,1,
44164,52,-458680,22,1,
35401,35,-458443,19,1,
31557,73,-458372,18,0,
26968,119,-458329,18,0,
23661,152,-458324,18,0,
15210,237,-458343,18,0,
6745,321,-458395,19,0,
3628,353,-458332,18,0,
27799,111,-458241,17,0,
27596,113,-458200,17,0,
25195,137,-458223,17,0,
24978,139,-458227,17,0,
24956,139,-458241,17,0,
25022,139,-458261,17,0,
25110,138,-458272,17,0,
25108,138,-458264,17,0,
25255,136,-458254,17,0,
25332,136,-458285,18,0,
25314,136,-458269,17,0,
25335,135,-458233,17,0,
25368,135,-458293,18,0,
25443,134,-458293,18,0,
25573,133,-458285,18,0,
25513,134,-458280,18,0,
25566,133,-458288,18,0,
25711,132,-458281,18,0,
25717,132,-458276,17,0,
25817,131,-458274,17,0,
25824,131,-458231,17,0,
25741,131,-458272,17,0,
26699,122,-458266,17,0,
47210,82,-458330,18,0,
141332,1024,-458371,18,0,
277883,2389,-458458,19,0,
367558,3286,-458525,20,0,
326160,2872,-458541,20,1,
321745,2828,-458611,21,1,
328823,2898,-458750,22,1,
334280,2953,-458968,24,1,
334795,2958,-459376,28,1,
341241,3023,-460007,35,1,
354647,3157,-461612,51,1,
366166,3272,-463331,68,1,
383871,3449,-467456,109,1,
461014,4220,-473430,169,1,
514082,4751,-480264,237,1,
563549,5246,-487207,307,1,
608108,5691,-493886,374,1,
653788,6148,-500584,441,1,
697505,6585,-507454,509,1,
734699,6957,-513416,569,1,
767650,7287,-522021,655,1,
803039,7641,-525988,695,1,
852351,8134,-529473,729,1,
879342,8404,-531795,753,1,
950697,9117,-533223,767,1,
1026748,9878,-534784,783,1,
903404,8644,-535231,787,1,
554601,5156,-531598,751,1,
351490,3125,-526943,704,1,
251905,2129,-524051,675,1,
212014,1730,-517846,613,1,
178871,1399,-513336,568,1,
178164,1392,-508785,523,1,
174628,1356,-504602,481,1,
161256,1223,-499067,425,1,
146769,1078,-492587,361,1,
138228,992,-486488,300,1,
127158,882,-480878,244,1,
111295,723,-475474,189,1,
95638,567,-469813,133,1,
66811,278,-461803,53,1,
53985,150,-459848,33,1,
41778,28,-458963,24,1,
33240,56,-458609,21,1,
27324,116,-458479,20,1,
23777,151,-458486,20,1,
20672,182,-458474,19,0,
11863,270,-458400,19,0,
3177,357,-458411,19,0,
1618,373,-458406,19,0,
1877,370,-458303,18,0,
27009,119,-458239,17,0,
44689,57,-458273,17,0,
46051,71,-458243,17,0,
45591,66,-458268,17,0,
45666,67,-458325,18,0,
45554,66,-458314,18,0,
45677,67,-458305,18,0,
45752,68,-458266,17,0,
45569,66,-458301,18,0,
45536,66,-458292,18,0,
45456,65,-458312,18,0,
45647,67,-458277,17,0,
45735,68,-458221,17,0,
45625,66,-458247,17,0,
45572,66,-458243,17,0,
49431,104,-458301,18,0,
84381,454,-458321,18,0,
317938,2790,-458370,18,0,
380981,3420,-458401,19,0,
359133,3202,-458498,20,0,
324699,2857,-458570,20,1,
325763,2868,-458592,21,1,
330185,2912,-458632,21,1,
333190,2942,-458744,22,1,
333679,2947,-458852,23,1,
337547,2986,-459056,25,1,
359488,3205,-459465,29,1,
378794,3398,-460365,38,1,
411144,3722,-462733,62,1,
453510,4145,-474168,176,1,
499290,4603,-481256,247,1,
547511,5085,-488237,317,1,
593457,5545,-495310,388,1,
645686,6067,-502245,457,1,
690720,6517,-508076,515,1,
750933,7120,-512256,557,1,
772670,7337,-514976,584,1,
757717,7187,-515554,590,1,
727953,6890,-511021,545,1,
740105,7011,-506819,503,1,
802339,7634,-507532,510,1,
824414,7854,-507535,510,1,
588723,5497,-505178,487,1,
323565,2846,-502329,458,1,
214239,1753,-500594,441,1,
147366,1084,-498916,424,1,
129945,910,-496610,401,1,
130651,917,-493602,371,1,
131495,925,-490424,339,1,
128285,893,-487444,309,1,
120498,815,-479070,225,1,
113436,745,-474650,181,1,
104688,657,-470580,141,1,
93572,546,-466423,99,1,
68389,294,-462739,62,1,
60811,218,-460304,38,1,
56295,173,-459247,27,1,
51253,123,-458763,22,1,
47344,84,-458410,19,1,
41808,28,-458314,18,1,
35616,33,-457594,11,0,
29414,95,-455478,10,0,
17958,209,-454421,20,1,
4255,346,-455533,9,1,
-1025,399,-456242,2,1,
-4032,429,-455666,8,1,
12606,263,-457061,5,1,
35173,37,-457916,14,1,
30931,80,-458299,18,1,
27819,111,-460422,39,1,
27468,114,-467691,112,1,
27492,114,-467693,112,1,
27673,112,-463832,73,1,
27803,111,-465708,92,1,
27757,111,-467939,114,1,
27845,110,-465476,89,1,
28563,103,-463836,73,1,
28587,103,-462771,62,1,
27940,109,-462998,65,1,
29307,96,-466027,95,1,
31167,77,-471275,147,1,
34349,45,-468205,117,1,
34180,47,-463356,68,1,
34053,48,-461162,46,1,
32669,62,-466177,96,1,
31431,75,-468735,122,1,
32898,60,-472342,158,1,
38050,8,-479461,229,1,
47573,86,-482645,261,1,
52060,131,-484863,283,1,
54770,158,-488450,319,1,
60972,220,-489972,334,1,
59033,201,-488707,322,1,
66283,273,-486352,298,1,
70378,314,-485322,288,1,
70115,311,-484425,279,1,
70284,313,-482158,256,1,
69813,308,-479380,229,1,
68347,294,-478945,224,1,
66584,276,-479981,235,1,
67004,280,-477130,206,1,
68202,292,-475257,187,1,
65064,261,-470860,143,1,
59019,200,-466229,97,1,
57145,182,-463001,65,1,
59272,203,-460989,45,1,
60309,213,-459588,31,1,
59671,207,-458482,20,1,
59294,203,-458522,20,1,
58076,191,-458594,21,1,
57069,181,-458505,20,1,
53195,142,-458533,20,1,
42886,39,-458588,21,1,
26325,126,-458735,22,1,
112551,736,-458416,19,0,
51836,129,-457835,13,0,
66043,271,-456697,2,0,
63856,249,-453279,31,0,
46658,77,-454565,19,0,
54550,156,-454371,21,0,
67376,284,-451554,49,0,
63543,246,-455305,11,0,
56130,171,-451549,49,0,
65884,269,-449876,66,0,
74349,354,-455013,14,0,
81664,427,-457842,13,0,
82771,438,-458219,17,0,
83214,442,-458297,18,0,
82930,439,-458270,17,0,
82656,437,-458210,17,0,
82901,439,-458271,17,0,
82511,435,-458276,17,0,
82429,434,-458304,18,0,
82826,438,-458311,18,0,
82655,437,-458294,18,0,
82352,434,-458263,17,0,
82680,437,-458286,18,0,
82230,432,-458309,18,0,
82293,433,-458276,17,0,
82477,435,-458246,17,0,
82366,434,-458247,17,0,
82193,432,-458272,17,0,
81842,429,-458283,18,0,
81808,428,-458292,18,0,
82064,431,-458236,17,0,
81717,427,-458264,17,0,
81956,430,-458287,18,0,
82007,430,-458275,17,0,
81740,428,-458299,18,0,
81834,429,-458328,18,0,
82040,431,-458281,18,0,
81939,430,-458292,18,0,
81865,429,-458277,17,0,
82013,430,-458301,18,0,
81837,429,-458306,18,0,
81828,428,-458272,17,0,
81932,430,-458301,18,0,
81943,430,-458280,18,0,
81893,429,-458316,18,0,
81895,429,-458312,18,0,
81738,428,-458297,18,0,
81835,429,-458278,18,0,
81970,430,-458300,18,0,
81943,430,-458321,18,0,
88308,493,-458259,17,0,
150234,1113,-458306,18,0,
274059,2351,-458408,19,0,
355879,3169,-458458,19,0,
384709,3457,-458540,20,2,
345625,3066,-458574,20,2,
328044,2891,-458638,21,2,
328654,2897,-459035,25,2,
339938,3010,-459408,29,2,
341902,3029,-460117,36,2,
353376,3144,-461343,48,2,
373159,3342,-463416,69,2,
398450,3595,-466714,102,2,
431536,3926,-471099,146,2,
473159,4342,-476720,202,2,
518701,4797,-483066,265,2,
561812,5228,-489331,328,2,
646848,6079,-495428,389,2,
699663,6607,-507609,511,2,
742738,7038,-512733,562,2,
774384,7354,-516933,604,2,
808373,7694,-520989,645,2,
837342,7984,-524819,683,2,
848266,8093,-527607,711,2,
857424,8184,-529391,729,2,
924274,8853,-530851,743,2,
890282,8513,-532350,758,2,
541223,5022,-531613,751,2,
332556,2936,-523207,667,2,
229957,1910,-520651,641,2,
192116,1531,-517856,613,2,
164696,1257,-514124,576,2,
154795,1158,-509701,532,2,
154877,1159,-505239,487,2,
155773,1168,-500978,445,2,
146785,1078,-495347,388,2,
130335,914,-489280,328,2,
121070,821,-483659,271,2,
107284,683,-473157,166,2,
90828,518,-468050,115,2,
76222,372,-463751,72,2,
64845,259,-461032,45,2,
54828,158,-459584,31,2,
49364,104,-458906,24,2,
44662,57,-458614,21,2,
27628,113,-458495,20,2,
16149,227,-458434,19,0,
6627,323,-458391,19,0,
1811,371,-458357,18,0,
-1221,401,-458343,18,0,
-1438,403,-458359,18,0,
9965,289,-458339,18,0,
36273,26,-458296,18,0,
41642,27,-458292,18,0,
39426,4,-458319,18,0,
39281,3,-458320,18,0,
39233,3,-458305,18,0,
39286,3,-458328,18,0,
39354,4,-458282,18,0,
39381,4,-458240,17,0,
39323,3,-458243,17,0,
39346,4,-458319,18,0,
39521,5,-458332,18,0,
39374,4,-458338,18,0,
39423,4,-458325,18,0,
40423,14,-458308,18,0,
58943,200,-458306,18,0,
148492,1095,-458305,18,0,
284701,2457,-458428,19,0,
367613,3286,-458443,19,0,
397117,3581,-458480,20,0,
354822,3158,-458495,20,2,
336446,2975,-458558,20,2,
339259,3003,-458681,22,2,
341934,3030,-458818,23,2,
341259,3023,-459077,25,2,
346702,3077,-459567,30,2,
360470,3215,-460686,42,2,
381914,3429,-465896,94,2,
413739,3748,-470960,144,2,
456243,4173,-477523,210,2,
503243,4643,-484351,278,2,
597072,5581,-490946,344,2,
641291,6023,-497653,411,2,
691562,6526,-504387,479,2,
733639,6947,-510194,537,2,
762363,7234,-514492,580,2,
796036,7571,-518475,619,2,
823561,7846,-525514,690,2,
841440,8025,-527837,713,2,
862474,8235,-529379,729,2,
990635,9517,-530590,741,2,
843936,8050,-530907,744,2,
501387,4624,-527688,712,2,
303144,2642,-523492,670,2,
210629,1716,-520940,644,2,
180226,1412,-518615,621,2,
158614,1196,-515185,587,2,
153854,1149,-506222,497,2,
155018,1160,-502102,456,2,
142471,1035,-496917,404,2,
134392,954,-490437,339,2,
126304,873,-484081,276,2,
116381,774,-478368,218,2,
102035,631,-473277,167,2,
84774,458,-468277,117,2,
70508,315,-463756,72,2,
60560,216,-460833,43,2,
53142,142,-458913,24,2,
42687,37,-458683,22,2,
38429,5,-458507,20,2,
31818,71,-458385,19,2,
24243,146,-458347,18,0,
18613,203,-458315,18,0,
7761,311,-458309,18,0,
-3523,424,-458357,18,0,
-3271,422,-458319,18,0,
10310,286,-458241,17,0,
28113,108,-458195,17,0,
21532,174,-458147,16,0,
21060,178,-458160,16,0,
21052,178,-458203,17,0,
20931,180,-458214,17,0,
20801,181,-458202,17,0,
20763,181,-458227,17,0,
20792,181,-458204,17,0,
20798,181,-458164,16,0,
20703,182,-458190,17,0,
20765,181,-458271,17,0,
20704,182,-458236,17,0,
20691,182,-458230,17,0,
20800,181,-458293,18,0,
20754,181,-458294,18,0,
20576,183,-458253,17,0,
20527,184,-458264,17,0,
20549,183,-458216,17,0,
20630,183,-458189,17,0,
20592,183,-458271,17,0,
20532,184,-458272,17,0,
20562,183,-458264,17,0,
20639,182,-458236,17,0,
20725,182,-458229,17,0,
20679,182,-458237,17,0,
20614,183,-458245,17,0,
20533,183,-458223,17,0,
20611,183,-458201,17,0,
85489,465,-458217,17,0,
221843,1829,-458269,17,0,
328118,2891,-458376,18,0,
383052,3441,-458415,19,0,
376627,3376,-458424,19,0,
347937,3090,-458475,19,0,
349334,3104,-458581,21,2,
352562,3136,-458726,22,2,
349656,3107,-458892,24,2,
344747,3058,-459155,26,2,
355005,3160,-459828,33,2,
372118,3331,-461067,45,2,
398957,3600,-463301,68,2,
437777,3988,-472979,165,2,
485220,4462,-479786,233,2,
534669,4957,-486618,301,2,
577763,5388,-493315,368,2,
619999,5810,-500043,435,2,
716051,6771,-506558,500,2,
748184,7092,-511849,553,2,
776089,7371,-515860,593,2,
804327,7653,-519591,631,2,
824392,7854,-522962,664,2,
842144,8032,-527925,714,2,
