LAW L1,L1,LAW L2,L2,Class,
880872,8419,-529265,727,2,
955160,9162,-530407,739,2,
932954,8940,-529746,732,2,
630589,5916,-525834,693,2,
231728,1927,-522283,658,2,
188733,1498,-520210,637,2,
166514,1275,-517702,612,2,
151362,1124,-514061,575,2,
151684,1127,-509591,531,2,
155921,1169,-500820,443,2,
150206,1112,-495142,386,2,
140524,1015,-488591,321,2,
133797,948,-482409,259,2,
107816,688,-476881,204,2,
90765,518,-471717,152,2,
77541,386,-466619,101,2,
68379,294,-462590,61,2,
60017,210,-460370,38,2,
53048,141,-459341,28,2,
45805,68,-458670,21,2,
37050,18,-458522,20,2,
29703,92,-458461,19,0,
13678,252,-458451,19,0,
4750,341,-458396,19,0,
-5012,439,-458340,18,0,
-6401,453,-458295,18,0,
1052,378,-458302,18,0,
28742,101,-458197,17,0,
37244,16,-458159,16,0,
20729,182,-458158,16,0,
17567,213,-458122,16,0,
17222,217,-458142,16,0,
17130,218,-458171,16,0,
17067,218,-458188,17,0,
16863,220,-458189,17,0,
16811,221,-458176,16,0,
16861,220,-458187,17,0,
16859,220,-458184,17,0,
16678,222,-458153,16,0,
16565,223,-458187,17,0,
16581,223,-458147,16,0,
16562,223,-458106,16,0,
16618,223,-458198,17,0,
16674,222,-458229,17,0,
16601,223,-458223,17,0,
16677,222,-458202,17,0,
18646,202,-458201,17,0,
50035,111,-458224,17,0,
162465,1235,-458259,17,0,
292284,2533,-458429,19,0,
385257,3463,-458496,20,0,
354447,3155,-458567,20,2,
348859,3099,-458616,21,2,
353523,3145,-458669,21,2,
353221,3142,-458797,23,2,
346562,3076,-458961,24,2,
346186,3072,-459291,28,2,
352656,3137,-460071,35,2,
364403,3254,-461412,49,2,
426151,3872,-468582,121,2,
470269,4313,-474970,184,2,
515725,4767,-481868,253,2,
559667,5207,-488556,320,2,
605496,5665,-495221,387,2,
653289,6143,-502018,455,2,
701198,6622,-508304,518,2,
738916,6999,-513024,565,2,
766309,7273,-516857,603,2,
821591,7826,-520586,641,2,
840217,8012,-526892,704,2,
861083,8221,-528566,720,2,
926096,8871,-529723,732,2,
962286,9233,-530406,739,2,
754004,7150,-528394,719,2,
428468,3895,-524157,676,2,
260811,2218,-521225,647,2,
203871,1649,-519230,627,2,
159656,1207,-516450,599,2,
154815,1158,-512638,561,2,
157313,1183,-503703,472,2,
155924,1169,-499228,427,2,
148206,1092,-493157,366,2,
141954,1030,-486662,301,2,
131258,923,-480746,242,2,
116801,778,-475486,190,2,
99131,601,-470295,138,2,
82359,434,-465314,88,2,
61279,223,-461747,52,2,
53474,145,-459927,34,2,
48184,92,-458836,23,2,
36887,20,-458664,21,2,
26672,122,-458532,20,2,
20893,180,-458452,19,0,
13164,257,-458379,19,0,
6870,320,-458362,18,0,
3077,358,-458395,19,0,
-4235,431,-458392,19,0,
13383,255,-458282,18,0,
37948,9,-458156,16,0,
45437,65,-458160,16,0,
44539,56,-458153,16,0,
44349,54,-458190,17,0,
44341,54,-458183,17,0,
44369,54,-458150,16,0,
44305,53,-458135,16,0,
44343,54,-458144,16,0,
44266,53,-458165,16,0,
44283,53,-458153,16,0,
44375,54,-458169,16,0,
44465,55,-458231,17,0,
44414,54,-458200,17,0,
44497,55,-458173,16,0,
44437,55,-458123,16,0,
47635,87,-458145,16,0,
201015,1620,-458177,16,0,
317424,2784,-458342,18,0,
377294,3383,-458437,19,0,
380310,3413,-458474,19,0,
344923,3059,-458473,19,0,
341543,3026,-458621,21,2,
341347,3024,-458729,22,2,
349475,3105,-458914,24,2,
350618,3116,-459221,27,2,
356004,3170,-459853,33,2,
363578,3246,-461055,45,2,
389259,3503,-463332,68,2,
427614,3886,-467458,109,2,
473231,4342,-473431,169,2,
519209,4802,-480212,237,2,
565814,5268,-487091,306,2,
613436,5745,-500472,439,2,
662972,6240,-506807,503,2,
709997,6710,-511905,554,2,
770064,7311,-515898,594,2,
797267,7583,-519653,631,2,
822767,7838,-523245,667,2,
839247,8003,-526142,696,2,
864625,8256,-528039,715,2,
931168,8922,-529243,727,2,
930369,8914,-530113,736,2,
676617,6376,-525295,688,2,
381518,3425,-522115,656,2,
189769,1508,-520184,637,2,
170812,1318,-517531,610,2,
156003,1170,-513841,573,2,
153761,1148,-509394,529,2,
155454,1165,-504927,484,2,
151002,1120,-500670,441,2,
142959,1040,-494954,384,2,
136999,980,-488442,319,2,
126540,876,-477120,206,2,
92428,534,-471939,154,2,
77365,384,-466797,103,2,
66776,278,-462573,60,2,
58801,198,-460279,38,2,
54380,154,-459248,27,2,
50274,113,-458795,23,2,
36511,24,-458603,21,2,
24886,140,-458536,20,2,
18153,207,-458483,20,2,
11732,272,-458429,19,0,
4687,342,-458394,19,0,
-1262,401,-458347,18,0,
-1079,400,-458325,18,0,
21413,175,-458208,17,0,
34458,44,-458184,17,0,
26644,122,-458199,17,0,
23645,152,-458185,17,0,
23793,151,-458179,17,0,
35263,36,-458255,17,0,
46474,75,-458282,18,0,
58259,193,-458314,18,0,
67773,288,-458330,18,0,
73792,348,-458265,17,0,
75829,368,-458307,18,0,
76128,371,-458320,18,0,
75919,369,-458316,18,0,
75415,364,-458291,18,0,
75703,367,-458313,18,0,
75607,366,-458248,17,0,
75038,361,-458270,17,0,
75283,363,-458239,17,0,
75522,365,-458087,16,2,
75065,361,-459103,26,2,
75044,361,-464275,77,2,
75340,364,-472759,162,2,
73331,343,-478471,219,2,
70674,317,-479450,229,2,
70692,317,-479771,232,2,
70953,320,-479842,233,2,
70850,319,-477995,215,2,
70722,317,-476301,198,2,
70804,318,-475629,191,2,
70736,318,-475172,186,2,
70458,315,-472312,158,2,
70278,313,-466157,96,2,
70146,312,-466350,98,2,
71463,325,-476849,203,2,
70862,319,-486879,304,2,
70343,314,-490109,336,2,
70956,320,-498265,417,2,
70484,315,-502751,462,2,
70476,315,-504602,481,2,
71100,321,-502559,460,2,
70690,317,-497780,413,2,
70680,317,-497544,410,2,
70473,315,-501175,446,2,
70719,317,-504481,480,2,
70778,318,-504458,479,2,
70411,314,-491298,348,2,
70460,315,-487974,314,2,
70440,315,-488680,322,2,
70426,314,-493303,368,2,
70581,316,-494839,383,2,
70546,316,-491298,348,2,
70295,313,-486123,296,2,
70286,313,-482093,256,2,
70367,314,-478286,218,2,
70285,313,-471783,153,2,
70771,318,-460120,36,2,
70799,318,-458201,17,0,
70355,314,-457595,11,0,
71631,326,-457139,6,0,
75985,370,-456237,2,0,
85592,466,-456687,2,0,
84674,457,-458259,17,0,
82986,440,-457960,14,0,
81087,421,-456759,2,0,
79977,410,-456933,4,0,
79883,409,-458404,19,0,
79961,410,-458510,20,0,
79977,410,-458701,22,0,
80152,412,-458746,22,0,
80103,411,-458757,22,0,
80348,414,-458734,22,0,
80104,411,-458718,22,0,
79981,410,-458700,22,0,
80191,412,-458755,22,0,
80094,411,-458795,23,0,
79973,410,-458752,22,0,
80135,412,-458800,23,0,
80363,414,-458760,22,0,
79503,405,-458756,22,0,
80298,413,-458726,22,0,
79894,409,-458773,22,0,
79937,410,-458796,23,0,
80394,414,-458790,23,0,
79769,408,-458789,23,0,
79539,406,-458772,22,0,
79927,409,-458791,23,0,
79939,410,-458809,23,0,
80423,414,-458826,23,0,
95309,563,-458823,23,0,
206564,1676,-459089,26,3,
336151,2972,-459808,33,3,
362297,3233,-459474,29,3,
353225,3142,-459000,25,3,
350335,3114,-459202,27,3,
360514,3215,-459964,34,3,
369535,3306,-461822,53,3,
397026,3580,-467626,111,3,
419237,3803,-471612,151,3,
449759,4108,-476390,199,3,
482233,4433,-481164,246,3,
516872,4779,-485771,292,3,
557502,5185,-490862,343,3,
605070,5661,-496977,404,3,
653648,6147,-503535,470,3,
697867,6589,-510122,536,3,
742394,7034,-516946,604,3,
857900,8189,-531303,748,3,
901870,8629,-536987,805,3,
934224,8952,-541703,852,3,
963083,9241,-546284,898,3,
991430,9524,-550536,940,3,
1009343,9704,-553538,970,3,
1023065,9841,-555444,989,3,
1083862,10449,-556564,1000,3,
1146541,11076,-557676,1011,3,
530016,4910,-555225,987,3,
312044,2731,-544939,884,3,
229118,1901,-540415,839,3,
212379,1734,-535211,787,3,
198295,1593,-529783,733,3,
190152,1512,-523996,675,3,
195533,1566,-518538,620,3,
190016,1510,-512429,559,3,
171685,1327,-504146,476,3,
142549,1036,-496019,395,3,
131259,923,-488941,324,3,
110756,718,-476588,201,3,
89154,502,-470579,141,3,
74412,354,-465515,90,3,
63366,244,-461989,55,3,
55127,161,-459990,35,3,
49663,107,-459187,27,3,
43351,44,-458796,23,3,
21834,170,-458644,21,3,
12009,269,-458548,20,3,
1917,370,-458462,19,0,
-7381,463,-458343,18,0,
-5926,448,-458296,18,0,
-10287,492,-458218,17,0,
-10230,491,-458163,16,0,
16278,226,-458072,15,0,
22185,167,-458026,15,0,
17551,213,-458026,15,0,
17280,216,-458072,15,0,
16812,221,-458108,16,0,
16562,223,-458162,16,0,
16368,225,-458113,16,0,
16444,224,-458116,16,0,
16359,225,-458126,16,0,
16158,227,-458169,16,0,
16197,227,-458148,16,0,
16117,228,-458198,17,0,
16801,221,-458150,16,0,
37263,16,-458107,16,0,
130810,918,-458104,16,0,
269229,2302,-458196,17,0,
355429,3164,-458438,19,0,
371573,3326,-458511,20,0,
353225,3142,-458522,20,3,
350144,3112,-458615,21,3,
348965,3100,-458848,23,3,
364320,3253,-459171,26,3,
365789,3268,-459818,33,3,
368508,3295,-461305,48,3,
387326,3483,-463812,73,3,
418848,3799,-467323,108,3,
457283,4183,-478344,218,3,
503838,4649,-485716,292,3,
559579,5206,-493691,372,3,
611980,5730,-501377,448,3,
720500,6815,-509149,526,3,
779643,7407,-517378,609,3,
827567,7886,-524692,682,3,
867084,8281,-530572,740,3,
903205,8642,-535665,791,3,
940810,9018,-540534,840,3,
973289,9343,-548111,916,3,
986345,9474,-550121,936,3,
1022592,9836,-551431,949,3,
974217,9352,-551915,954,3,
605191,5662,-548178,917,3,
363175,3242,-542729,862,3,
239190,2002,-539405,829,3,
203055,1641,-536385,799,3,
189519,1505,-531875,753,3,
180349,1414,-526426,699,3,
182617,1436,-515105,586,3,
183220,1442,-508565,520,3,
152438,1135,-500408,439,3,
140566,1016,-492740,362,3,
131347,924,-485947,294,3,
114751,758,-479490,230,3,
95701,567,-472753,162,3,
79242,403,-466758,102,3,
67860,289,-462916,64,3,
58611,196,-460708,42,3,
52999,140,-459021,25,3,
45696,67,-458750,22,3,
15485,234,-458623,21,3,
7922,310,-458554,20,3,
461,384,-458458,19,0,
-829,397,-458388,19,0,
-1066,399,-458340,18,0,
-7842,467,-458332,18,0,
-13391,523,-458296,18,0,
9836,290,-458192,17,0,
25477,134,-458076,15,0,
20027,189,-458086,16,0,
19767,191,-458068,15,0,
19629,193,-458099,16,0,
19542,193,-458144,16,0,
19410,195,-458144,16,0,
19325,196,-458122,16,0,
19123,198,-458140,16,0,
19076,198,-458182,17,0,
19110,198,-458219,17,0,
18947,199,-458141,16,0,
18878,200,-458148,16,0,
21411,175,-458197,17,0,
55841,169,-458222,17,0,
173050,1341,-458197,17,0,
299383,2604,-458333,18,0,
365425,3264,-458451,19,0,
363982,3250,-458554,20,3,
353100,3141,-458625,21,3,
352334,3134,-458772,22,3,
362659,3237,-459086,26,3,
365046,3261,-459573,30,3,
369974,3310,-460454,39,3,
369701,3307,-462398,59,3,
389181,3502,-466048,95,3,
423652,3847,-470977,144,3,
466775,4278,-477042,205,3,
514519,4755,-484196,277,3,
569589,5306,-491847,353,3,
675024,6360,-499635,431,3,
736427,6974,-507648,511,3,
793774,7548,-523166,666,3,
842451,8035,-529112,726,3,
884550,8456,-534599,781,3,
923467,8845,-539959,834,3,
958427,9194,-544407,879,3,
985167,9462,-547588,911,3,
1003111,9641,-549666,931,3,
1114428,10754,-551131,946,3,
897595,8586,-552199,957,3,
537070,4981,-549398,929,3,
325110,2861,-539941,834,3,
222189,1832,-536827,803,3,
196369,1574,-532477,759,3,
184641,1457,-527169,706,3,
177204,1382,-521352,648,3,
181818,1428,-515810,593,3,
163549,1246,-509570,530,3,
147550,1086,-501446,449,3,
135165,962,-493633,371,3,
124733,858,-486923,304,3,
108779,698,-473959,174,3,
88204,492,-467908,114,3,
72927,339,-463627,71,3,
60518,215,-461213,47,3,
48015,90,-459805,33,3,
32582,63,-459049,25,3,
20613,183,-458720,22,3,
10517,284,-458600,21,3,
3304,356,-458493,20,3,
-3231,421,-458344,18,0,
-3105,420,-458400,19,0,
-3566,424,-458357,18,0,
-10740,496,-458296,18,0,
-12635,515,-458235,17,0,
28339,105,-458121,16,0,
25426,135,-458126,16,0,
25267,136,-458167,16,0,
25227,137,-458162,16,0,
25313,136,-458139,16,0,
25363,135,-458187,17,0,
25319,136,-458183,17,0,
25363,135,-458134,16,0,
25339,135,-458147,16,0,
25443,134,-458173,16,0,
25543,133,-458191,17,0,
25628,133,-458193,17,0,
25569,133,-458185,17,0,
25689,132,-458174,16,0,
34928,40,-458162,16,0,
97653,587,-458141,16,0,
234645,1957,-458345,18,0,
337424,2984,-458454,19,0,
381129,3421,-458521,20,3,
359066,3201,-458602,21,3,
358037,3191,-458756,22,3,
362880,3239,-458924,24,3,
365611,3266,-459155,26,3,
369354,3304,-459494,30,3,
371739,3328,-460353,38,3,
373405,3344,-462268,57,3,
396912,3579,-470731,142,3,
437179,3982,-477066,205,3,
544431,5054,-484918,284,3,
604858,5659,-492926,364,3,
655164,6162,-500662,441,3,
710102,6711,-508601,521,3,
770356,7314,-516820,603,3,
820235,7813,-524168,676,3,
865030,8260,-529786,733,3,
900870,8619,-534920,784,3,
934337,8954,-544492,880,3,
986607,9476,-547581,911,3,
1011292,9723,-549512,930,3,
1085814,10468,-550979,945,3,
1070000,10310,-551985,955,3,
741731,7027,-549234,927,3,
442409,4034,-543744,872,3,
267797,2288,-539908,834,3,
198077,1591,-536862,803,3,
184084,1451,-532482,760,3,
176566,1376,-521525,650,3,
174054,1351,-516202,597,3,
165601,1266,-510088,536,3,
154146,1152,-502141,456,3,
145649,1067,-494415,379,3,
137140,982,-487811,313,3,
130577,916,-481363,248,3,
115611,766,-474804,183,3,
96032,571,-468570,120,3,
82203,432,-463817,73,3,
55567,166,-459838,33,3,
44395,54,-459213,27,3,
29273,96,-458880,24,3,
15790,231,-458670,21,3,
10570,283,-458555,20,3,
4314,346,-458500,20,3,
-252,391,-458435,19,0,
-3910,428,-458383,19,0,
-9372,483,-458338,18,0,
-7305,462,-458257,17,0,
17937,209,-458148,16,0,
17346,215,-458143,16,0,
15959,229,-458168,16,0,
15485,234,-458193,17,0,
15162,237,-458142,16,0,
15019,239,-458178,17,0,
14976,239,-458198,17,0,
14884,240,-458215,17,0,
14642,242,-458225,17,0,
14615,243,-458183,17,0,
14608,243,-458162,16,0,
14618,243,-458157,16,0,
14551,243,-458195,17,0,
14419,245,-458176,16,0,
14297,246,-458157,16,0,
14397,245,-458178,17,0,
23328,156,-458220,17,0,
225505,1865,-458248,17,0,
328542,2896,-458343,18,0,
370190,3312,-458459,19,0,
358334,3194,-458632,21,3,
356359,3174,-458699,22,3,
360483,3215,-458792,23,3,
358821,3198,-459003,25,3,
364136,3252,-459314,28,3,
372784,3338,-459973,34,3,
370569,3316,-461421,49,3,
401144,3622,-464319,78,3,
441360,4024,-468919,124,3,
490298,4513,-474892,184,3,
547964,5090,-482415,259,3,
603912,5649,-498106,416,3,
654759,6158,-505916,494,3,
710533,6716,-514088,576,3,
769705,7307,-521896,654,3,
821632,7827,-528053,715,3,
897606,8586,-533070,765,3,
930674,8917,-538189,817,3,
961094,9221,-543053,865,3,
985008,9460,-546677,901,3,
1016301,9773,-549055,925,3,
1096154,10572,-551984,955,3,
1062686,10237,-550760,942,3,
718836,6799,-545425,889,3,
428264,3893,-540837,843,3,
194363,1554,-537941,814,3,
184631,1456,-533910,774,3,
181732,1428,-528671,721,3,
181471,1425,-523090,666,3,
182900,1439,-517701,612,3,
174481,1355,-512193,557,3,
163886,1249,-496634,401,3,
154248,1153,-489697,332,3,
146002,1070,-483399,269,3,
115465,765,-477110,206,3,
94960,560,-470694,142,3,
81218,422,-465046,85,3,
69741,308,-461674,51,3,
57535,186,-460066,35,3,
47487,85,-459316,28,3,
36228,27,-458902,24,3,
23038,158,-458597,21,3,
12937,259,-458489,20,3,
5674,332,-458419,19,0,
-8202,471,-458384,19,0,
-13524,524,-458368,18,0,
-18686,576,-458309,18,0,
-7843,467,-458260,17,0,
17137,217,-458172,16,0,
15473,234,-458132,16,0,
14307,246,-458151,16,0,
13949,249,-458230,17,0,
13608,253,-458186,17,0,
13296,256,-458158,16,0,
13038,258,-458176,16,0,
12982,259,-458204,17,0,
12986,259,-458159,16,0,
12965,259,-458234,17,0,
12853,260,-458249,17,0,
12832,261,-458197,17,0,
12828,261,-458205,17,0,
12706,262,-458250,17,0,
45228,62,-458208,17,0,
159929,1209,-458188,17,0,
287393,2484,-458349,18,0,
361076,3221,-458448,19,0,
372419,3334,-458531,20,3,
366722,3277,-458672,21,3,
364228,3252,-458716,22,3,
355460,3165,-458816,23,3,
365111,3261,-459006,25,3,
377992,3390,-459996,35,3,
376930,3379,-461509,50,3,
390382,3514,-464596,81,3,
420866,3819,-469326,128,3,
466828,4278,-475621,191,3,
521658,4827,-483251,267,3,
581001,5420,-491214,347,3,
635099,5961,-499067,425,3,
683298,6443,-506874,503,3,
790964,7520,-515083,586,3,
842817,8038,-528907,724,3,
884404,8454,-533937,774,3,
921230,8822,-538816,823,3,
959678,9207,-543589,871,3,
990581,9516,-547247,907,3,
1011820,9728,-549562,930,3,
1071229,10322,-551075,945,3,
1125356,10864,-552189,957,3,
910174,8712,-550239,937,3,
331604,2926,-544716,882,3,
212937,1740,-537285,808,3,
190291,1513,-533010,765,3,
181510,1425,-527753,712,3,
175370,1364,-522225,657,3,
184229,1452,-516843,603,3,
184336,1454,-511119,546,3,
173427,1344,-503331,468,3,
158031,1190,-495493,390,3,
133737,948,-488857,323,3,
120447,815,-482648,261,3,
98983,600,-469735,132,3,
82380,434,-464275,77,3,
68183,292,-461286,48,3,
54690,157,-459821,33,3,
43411,44,-459148,26,3,
31226,77,-458788,23,3,
22241,166,-458638,21,3,
7718,312,-458576,20,3,
5343,335,-458472,19,0,
937,379,-458442,19,0,
-9014,479,-458407,19,0,
-15244,541,-458309,18,0,
-11114,500,-458221,17,0,
18483,204,-458154,16,0,
24313,146,-458217,17,0,
20637,182,-458283,18,0,
20068,188,-458266,17,0,
19785,191,-458256,17,0,
19659,192,-458264,17,0,
19511,194,-458263,17,0,
19378,195,-458267,17,0,
19327,196,-458288,18,0,
19308,196,-458260,17,0,
19236,196,-458290,18,0,
19306,196,-458237,17,0,
19186,197,-458275,17,0,
19498,194,-458263,17,0,
34711,42,-458251,17,0,
117899,789,-458277,17,0,
262080,2231,-458340,18,0,
354911,3159,-458538,20,3,
386471,3475,-458560,20,3,
368556,3296,-458659,21,3,
358106,3191,-458736,22,3,
348117,3091,-458939,24,3,
363497,3245,-459115,26,3,
367229,3282,-459483,30,3,
365598,3266,-460346,38,3,
378554,3396,-462078,56,3,
407039,3681,-465480,90,3,
447724,4087,-477529,210,3,
495456,4565,-485354,288,3,
552159,5132,-493358,368,3,
606730,5677,-500934,444,3,
698722,6597,-508545,520,3,
757060,7181,-516604,601,3,
816085,7771,-523897,674,3,
868538,8296,-529657,731,3,
904942,8660,-534788,783,3,
935481,8965,-539768,832,3,
959130,9201,-544161,876,3,
979718,9407,-549617,931,3,
1017280,9783,-551069,945,3,
1021664,9827,-552025,955,3,
664802,6258,-549192,927,3,
396937,3580,-543677,871,3,
232696,1937,-540050,835,3,
178828,1398,-537023,805,3,
175272,1363,-532414,759,3,
173457,1345,-526870,703,3,
177758,1388,-521184,647,3,
177484,1385,-509868,533,3,
153653,1147,-501866,453,3,
141289,1023,-494143,376,3,
131274,923,-487646,311,3,
119216,802,-481393,249,3,
98825,598,-474918,184,3,
80470,415,-468409,119,3,
66103,271,-463453,69,3,
53550,146,-460773,42,3,
44509,55,-459605,31,3,
36155,27,-458697,22,3,
19859,190,-458571,20,3,
13262,256,-458472,19,0,
8723,302,-458407,19,0,
9124,298,-458358,18,0,
3176,357,-458348,18,0,
-9848,487,-458333,18,0,
-20553,594,-458301,18,0,
-3578,425,-458254,17,0,
21341,175,-458235,17,0,
16993,219,-458363,18,0,
16663,222,-458401,19,0,
